hi pibo,hello. It's a pibo.
I guess I picked the wrong major,Distinguish between what fits me and what doesn't.
I want to hear only the major,You must be interested in your major.
I want to go to school with a transfer and have fun.,You will be able to do well enough.
Will I be able to do well with the past?,You will be able to do well enough.
I've been convicted,I'll have to get used to the new one.
electricity went out,Wait a little bit and the electricity will come back on.
no electricity,Check if the goad house has gone down.
The electricity suddenly went out,Check if the goad house has gone down.
Sleeping on an electric blanket,I hope you have a warm winter.
Beat the winter with an electric blanket,I hope you have a warm winter.
I miss my ex,The world is wide and there are many people.
I keep thinking of my ex,The world is wide and there are many people.
I want to contact my ex,Don't be soggy.
Everything is like a thorny road,I hope you only walk on the flower path.
do you know everything,I can't know everything.
I signed a charter contract,Well done.
"The rent suddenly went up, what should I do?",Please explain the situation well.
What should I do to raise the rent?,Please explain the situation well.
found a rental house,Well done.
"I met my ex, should I pretend not to know?",Don't forget that you are a stranger now.
I want to see my ex,I'm already a man
I want to contact my ex,"If you contact me, you will be remembered as a disgusting person."
When do you wait until discharge,The military clock doesn't stop.
Worried about transfer?,Do not worry. You will do well.
I'm transferring school,I'll have to get used to the new one.
Can a transfer student do well?,Do not worry. You will do well.
can i call,Call me.
I don't answer the phone again,I'm worried about losing contact.
I can't call,The first time is difficult.
Why are you not answering the phone,You must be busy.
don't answer the phone,I'm worried about losing contact.
I get nervous because I don't answer the phone,You must be busy.
come on the phone,There must be a phone call waiting for you.
why don't you answer the phone,You must be busy.
why don't you call,There must be a phone call waiting for you.
Why are you carrying the phone! without receiving,I'm worried about losing contact.
I don't answer the phone too much,Please contact us once more.
Why don't you answer the phone,You must be busy.
I don't answer the phone well,I'm worried about losing contact.
If the phone rings,There must be a phone call waiting for you.
too late to call,It is rude to call late.
"It's too late to call, but I want to call",It is rude to call late.
It's hard to call,The first time is difficult.
no one to call,do it for your family
Should I call or not,Call me.
can i call you,Call me.
should i call,Call me.
absolutely unfair,The reason we were born differently is to have our own voice. Please hear your own voice.
I'm desperate,Don't be too discouraged.
You should be rich by saving,Fighting for the prospective rich man!
Save money to live well,Fighting for the prospective rich man!
I want to meet my best friend,Be polite and considerate of each other.
My best friend pretended not to know today,Hello.
"I'm a close friend, but I'm not sure",Hello.
I want to live young.,Live young even if you have a heart.
want to be young,Live young even if you have a heart.
Shall we go to the dot?,nice to see for fun
Should I subtract a point?,"If you take it off, it will be neat."
I want to go to the dot subtraction.,"If you take it off, it will be neat."
It's annoying to pack lunch,Do it with the mindset of taking care of your health.
I should go to the bank for lunch,I must have something to see.
have to eat lunch,We hope you have a great time.
It's hard to choose the lunch menu,It depends on who you eat with.
pick out the lunch menu,It depends on who you eat with.
lunch break is too short,Working hours are long.
You should also pay attention to going out during lunchtime.,I guess your privacy is respected.
Can't go out during lunch,I guess your privacy is respected.
I have to go to the bank during lunch break.,I must have something to see.
I just want to rest during lunch,You should eat something delicious and get some rest.
"I want to rest in peace, even during lunchtime",You should eat something delicious and get some rest.
Should I see a dot?,nice to see for fun
It gets tougher.,Don't try to take out your anger on others.
getting better,"It's not my ideal type, but there are people I like."
I like you more and more,I guess it's a ball.
full-time job,You will find a good company.
Full-time workers hired too small,It's small.
Can I become a full-time employee,You will find a good company.
Getting a full-time job is too difficult,It's small.
I want a full-time job,You should be able to do it soon.
what is the correct answer,The answer is always within me.
I should go to Jeongdongjin and get some fresh air.,Come and play well.
Unorganized,Do it step by step.
I can't organize,Do it step by step.
parietal odor,Wash your head.
Doesn't the top of your head smell?,Wash your head.
On my way home from work on time,You will gain strength after resting. Eat something delicious.
I can't come to my senses.,Your own life is too precious to live blindly to the lives of others.
"The calmer you are, the calmer you are",Take a deep breath.
It gives me too much mental stress. How do I deal with this kind of person?,"Don't say anything, be silent."
Where did your mind go,Calm down.
I want to come to my senses,Your own life is too precious to live blindly to the lives of others.
Please tell me to come to my senses,focus on yourself Always put yourself first.
I should buy a suit,I think it will come in handy if you buy it.
I think I need a suit,I think it will come in handy if you buy it.
what to do with my second language,I think it's good to learn a language that I don't learn well these days.
What should I choose as my second foreign language?,I think it's good to learn a language that I don't learn well these days.
there is no dispenser,I don't have either.
rate it right,I'm not in a position to do that.
If the sacrifice is gone,Think of a good meaning.
sacrifice too much,Think of a good meaning.
i need a dehumidifier,I don't have either.
As if I'm just walking in place,Don't be too afraid of no progress.
I want to go to Jeju Island.,Please take me too.
I want to go to Jeju Island,Book your flight ticket right now.
Should I go and live in Jeju Island?,It's a beautiful place.
I want to go to Jeju Island to play.,Please take me too.
I want to go to the beach in Jeju Island,Book your flight ticket right now.
I have to go to Jeju Island.,Travel is good!
"If you are teaching, it will be difficult to study.",It looks good that you are trying.
Shall I study while teaching?,It looks good that you are trying.
I hope you wait a little bit,Don't burden the other person too much.
impatient and edgy,"If you feel impatient, you are more likely to keep shaking hands."
lighting is good,You look great!
Is it lighting,You look great!
"Jomoim, why are there so many",Teamwork has become more important these days.
I don't like to present group assignments,Have a good role division.
Group presentation Why do you do so many,Teamwork has become more important these days.
I don't like group presentations,Have a good role division.
be careful,Safety is paramount!
A lot to be careful of,It's a scary world.
i want to be quiet,can i go out?
Can I pass quietly?,guess it depends on what's going on.
Shall we pass quietly?,guess it depends on what's going on.
It's hard to choose a gift for my nephew,just ask
What to buy for my nephew,just ask
I hate coming to my nephew,Do not open the door.
gift for nephew,how about the bag
What to buy as a gift for your nephew,how about the bag
Nephews bother me so much,Do not open the door.
I'm sleepy,Go to bed early today.
i'm sleepy i can't sleep,You seem to be having a lot of trouble.
I'm sleepy but I can't sleep,You seem to be having a lot of trouble.
graduation photo ruined,I wish it was natural even if it was ruined.
I didn't take a good graduation picture,I wish it was natural even if it was ruined.
what is a good graduation gift,just ask
graduation gift recommendations,just ask
I should go to the graduation ceremony,congratulations
Can I go to the graduation ceremony,Go to the graduation ceremony and celebrate.
Can I go to the graduation ceremony,Go to the graduation ceremony and celebrate.
Graduation,congratulations
I want to get closer,Open your heart more.
let's get along,I want to live long.
I think I should take a break and raise my baby,You must be working in a nice place.
I cut my hand on paper,Disinfect and apply medicine.
nice but annoying,You have to overcome your cynicism.
ok i think i will die,It's good because you like it.
i don't know what i like,Experience it in a variety of ways.
I wish I could be in the same class as the girl I like,Trust your luck.
how to maintain a good relationship,It is a relationship that has a good influence on each other.
what is a good relationship,It is a relationship that has a good influence on each other.
I envy you for going to a good college,Fill in other abilities.
I envy people who graduated from good colleges,Fill in other abilities.
Where have all the good people gone,You can go and meet him.
good morning,Good morning.
no good,There will be little things.
I'm frustrated,It's time to wake up.
Should I throw away the letters I sent and received?,Throw away what you have to throw away.
I can't speak because I'm intimidated,Think it's nothing.
Can I be honest with you?,It would be better if you lower your dose.
Is it good to be strong?,You shouldn't eat too much because it's strong.
Wrinkles are nice too,It's a nice night.
A person with nice wrinkles,It's a nice night.
I have wrinkles,It's a beautiful nightstand.
Wrinkles appear little by little.,You are beautiful even if you are
Recommended to play on the weekend,play with me
I want to sleep in on the weekend and chat while eating brunch,It's a perfect weekend.
Go on a date on the weekend!,I hope you're having a nice weekend.
What to play on the weekend?,play with me
Going skiing on the weekend!,I'm excited.
I come to the gym a lot even on weekends.,I would love to exercise together.
"It's the weekend, but there are a lot of people in the gym.",I would love to exercise together.
Stock jackpot M!,It's just a matter of time to go bankrupt.
Stock Fucked,There are few people who make money with stocks.
I made a lot of money with stocks,It's just a matter of time to go bankrupt.
stocks are down,There are few people who make money with stocks.
I said something I couldn't contain,I will forever regret it.
I think I went over the subject,Happiness is when you don't know the subject.
no space in the parking lot,One more lap and you'll come back with a smile
the parking lot is full,One more lap and you'll come back with a smile
scratched while parking,I'm going to have a heartache.
It's annoying because there's nowhere to park,One more lap and you'll come back with a smile
Sign up for housing subscription,You've taken the first step toward building your own home.
Start applying for a home!,You've taken the first step toward building your own home.
I heard about the housing application,One step closer to my home.
Driving practice is over,Drive safely.
i want to die,value you
"Even if I die, no one will know",Don't feel bad.
I want to be with you until I die,Propose.
I have someone I want to be with until the day I die,Propose.
do you want to die?,I want to live long.
I think the line will be long,Grab a cup of coffee and wait.
I worry about my second-year-old son,I guess it's puberty.
Do you know hysteria in middle school?,It's a tough time.
2nd bottle,It's a tough time.
"They said it was middle school 2, so I couldn’t believe it was really heartbreaking",I guess it's puberty.
I think it's middle 2,It's a tough time.
there is no middle,Even that would be attractive.
I did a used deal,You made a sensible purchase.
I think I made a good purchase,You made a good choice.
I bought it second hand,You made a sensible purchase.
Looks like a good buy used,You made a good choice.
Could be ordered from China,You will be able to adapt and do better in a new place.
I might have to go on a business trip to China,You will be able to adapt and do better in a new place.
Shall we study Chinese?,It will help you later.
Should I go to an academy to learn Chinese?,You can do it alone or go to school.
Wouldn't it be nice to have Chinese?,It's good if there is a Chinese language.
Should I go to Chinese language school?,You can do it alone or go to school.
Can I study Chinese alone?,You can do it alone or go to school.
Shall we go to China?,Find out more and do it.
Wouldn't it be better to have a Chinese character?,It's good if there is a Chinese language.
Can I get a job even in a small business?,The work itself is important.
"I'm a small business, should I just get a job?",The work itself is important.
waiting for an important announcement,Good luck.
I want to enjoy life,Enjoy the present and live happily.
"There's no evidence, so I'm the only one who suspects",Look back on your usual behavior.
Ji is the victim,That's clearly wrong.
I forgot my wallet,Borrow from another class.
Should I change my wallet?,Turn into a god.
I didn't bring my wallet,Borrow from another class.
my wallet is gone,Find it well.
lost wallet,Find it well.
you're kidding me now,I hope not.
what i have to do now,bruising
Are you trying now?,What matters is the process of trying.
"If I sleep now, will I not be able to sleep at night?",Take a nap for only 20 minutes.
"If I sleep now, I can't sleep at night, but I'm sleepy",Take a nap for only 20 minutes.
happy now,Enjoy the present!
It seems like I've only been working until now,live your own life
Should I study Chinese right now?,It will help you later.
I hate to lose,There are times when you lose and there are times when you win.
I hate losing,Don't stress about losing.
No one likes to lose,Don't stress about losing.
I really hate losing,There are times when you lose and there are times when you win.
I don't have friends from the countryside,Make friends.
I'm worried about the earthquake,Korea is also dangerous. Know how to evacuate in case of an earthquake.
there won't be an earthquake,Korea is not safe either. Know how to evacuate in case of an earthquake.
What if there is an earthquake?,Korea is also dangerous. Know how to evacuate in case of an earthquake.
What if there is an earthquake?,Korea is not safe either. Know how to evacuate in case of an earthquake.
There is no space to step on the subway.,Ride at the front or at the back.
Too many people on the subway,Ride at the front or at the back.
no seats on the subway,There are days like that.
I found a freaking cool guy on the subway! Shall I tell you,This is a moment that requires courage.
"I saw a nice guy on the subway, should I talk to him?",This is a moment that requires courage.
It's cheaper if you buy direct.,buy something good
I have to buy direct,buy something good
I hate going to work,You must be under a lot of stress at work.
I started working,"It will be very difficult at first, but you will gradually get used to it."
Let me work at work,It must be stressful at work.
bullying me so much at work,It must be stressful at work.
being bullied at work,It must be stressful at work.
Boss bullies you at work.,Could there be a reason?
I'm being bullied at work,It must be stressful at work.
"I keep getting scolded at work, should I quit?",Fix what needs to be fixed and hold on a little longer.
"I seem to be the target of my anger at work, should I quit?",Fix what needs to be fixed and hold on a little longer.
I don't think I have any luck at work.,Think about relocating.
I have a hard time at work,It must be stressful at work.
I don't think I've ever liked my job,Think about relocating.
Workers need vacations too,It's okay to take a break for a while.
missing a promotion,I will definitely be promoted next time.
I'm the only one missing from the promotion,Opportunity will come again.
I was the only one missing from the promotion,Opportunity will come again.
I want to advance,You can do it if you work hard.
I guess it's time to get promoted,You can do it if you work hard.
I should be promoted,You can do it if you work hard.
a person who is serious as a joke,Please do the same.
What is truly enjoyable?,"I have a lot to do, but I'm not doing it."
I really want to be,It's hard to be what other people want me to be.
it's really too much,I hope it works out well.
Sounds like it's not real,There are all kinds of people in the world.
really nonsense,It happens a lot.
really helpless,What you can do well is different.
There are really all kinds of people,There are a lot of really strange people.
you have to work really hard,That's a good attitude.
there is a real whole,Forgive your opponent and find a way out to vent.
It's really the limit now,Believe in your potential.
How many real friends should you have?,Even one person is enough.
I want to make real friends,"If you approach with sincerity, you will be able to become friends."
I don't think I have any real friends,"If your friend hears it, you might feel sad."
really tired day,Rest well.
cup of strong coffee,It's good to drink.
"I have to pack, it's annoying",Throw away what you want to throw away.
on the way home,come carefully.
I want to get out of the house and live alone.,Living alone is not bad.
I met a boy I was dating after coming home,Don't worry about it being a stranger.
I think the house is ruined,Try to be helpful at home.
I don't like to leave the house,"Today, we just play around together."
i want to buy a house,There must be someone you want to live with.
bought a house,Congratulations on getting your own home.
bought a house,Congratulations on getting your own home.
I want to decorate my house beautifully.,Decorate your own space.
I'm selling my house,I hope it's a good decision.
to sell a house,I hope it's a good decision.
"Even if I leave the house, I have nowhere to go",Contact your teacher or institution.
Shall we go home,Don't make reckless decisions.
Houses are annoying,It'll be fine if you don't
Who do you invite to the houses?,People you want to invite.
What to buy for a housewarming gift,Ask what you need.
What is a housewarming gift,Ask what you need.
how do houses,Find out if there is an easy way to prepare it and prepare it.
I don't like housewarming,Find out if there is an easy way to prepare it and prepare it.
do housewarming,It's the landlord's mind whether he does or not.
Should I do a housewarming?,It's the landlord's mind whether he does or not.
Housewarming and everything else is annoying,It'll be fine if you don't
Who do you usually invite to a housewarming?,People you want to invite.
too much housework,Try a little each day.
housework piled up,Do it one by one.
housework is difficult,little by little you'll get better
"Even if you do housework, it won't end",Do it little by little.
"Even if you do housework, there is no end",Try a little each day.
I can't do housework,little by little you'll get better
too much chores,Do it one by one.
housework not done,Do it little by little.
Meeting my ex in front of my house,Don't worry about it being a stranger.
going home,come carefully.
I want to eat pimac when I go home.,It's okay to look at it.
No cold medicine at home,go to the hospital
nothing to eat at home,You can create a new relationship.
There is too much dust in the house,Do a deep cleaning!
I want to go home soon,home is the best
i want to go home early,home is the best
to invite a friend to come home,I'm sure you'll have a fun time.
to invite a friend to the house,I'm sure you'll have a fun time.
Why are you asking for a house?,I guess I'll take you
the house is so messy,Run the vacuum cleaner.
the house is dirty,Run the vacuum cleaner.
Why do you ask where is my house?,I guess I'll take you
can't concentrate,It's okay to take a break.
Why can't I concentrate like this?,It's okay to take a break.
"It's like an obsession, what will he think?",If the other person feels that way.
It seems like an obsession,I think it's proof of love.
is it an obsession,If the other person feels that way.
I guess it's an obsession,I think it's proof of love.
jingling noise between floors,You must be suffering from your neighbours.
I'm moving according to the set timetable,There are times when it's comfortable.
I ordered jajangmyeon,Jajangmyeon is delicious even eaten alone.
it's annoying,"When you're annoyed, how about soothing music?"
I came out because it annoyed me,My mind must be complicated.
I came out of the house annoyed,My mind must be complicated.
Annoying,Jajangmyeon when you're annoyed
annoying,Jajangmyeon when you're annoyed
Can I give it to my mate?,Be brave!
Would you be embarrassed to give your partner a gift?,Be brave!
Is it burdensome to give a gift to someone you love?,Be brave!
Can I give my unrequited love a pepero?,Be brave!
I need to get fired,Go back to the beginning and work hard.
so cold,Let's go strong today.
great,please like me too
I want to eat it,Please cook quickly.
I remember when I'm scared,Please cook quickly.
I have to go straight,It's okay to look back a bit.
I want to go to a jjimjilbang,It's cool just thinking about it.
Should I show my bare face when I go to the jjimjilbang?,I don't think it's like putting on makeup in a jjimjilbang.
Should I remove my makeup when I go to the jjimjilbang?,I don't think it's like putting on makeup in a jjimjilbang.
I want to go to a sauna and sweat,It's cool just thinking about it.
Car gas prices have risen again,Please use public transportation.
need to rent a car,Maybe you need a car for something.
traffic jam,Take your time.
Would it be better to buy a car?,The judgment is yours.
I think I should buy a car,Choose a good car.
I will buy a car,Choose a good car.
Shall I buy a car,The judgment is yours.
The car is really clogged. What are you doing?,Take your time.
I'm uncomfortable selling my car,Embrace some discomfort.
I sold my car and it's inconvenient,Embrace some discomfort.
Shall we have a cup of tea,Be brave and say it.
feeling discriminated against,They are ugly people who discriminate.
I hate discrimination,They are ugly people who discriminate.
Will I be blessed if I live a good life?,You will reap what you sow.
I think it's nice but rather ignore it,I must have suffered a lot.
A world that bullies good people,I must have suffered a lot.
I wish good people well,You will reap what you sow.
I wish good people well,You will reap what you sow.
only cold water,See if the boiler runs on hot water.
I want to have shiny hair,It's not easy to manage.
If you hadn't noticed,It could be a clumsy expression of affection.
don't meddle,I want to help.
Can I keep trying?,Anyone with patience can get their hands on anything.
Is it better to be patient,It's good to express it sometimes.
Should I put up with it,It's good to express it sometimes.
melon is delicious,bon appetite.
I should eat melon,bon appetite.
Will I be able to succeed if I persevere?,Anyone with patience can get their hands on anything.
I want to eat tuna kimchi stew.,Delicious!
I opened the window and came out,Go in and close it.
I left the window open,Go in and close it.
Entrepreneurship worries,It looks like you need a lot of preparation.
Should I start a business,It looks like you need a lot of preparation.
I should start a business,Get ready slowly.
want to start a business,Prepare until you're sure.
Can I start a business?,Prepare until you're sure.
embarrassing,You don't have to.
I didn't return the book,I guess I forgot
"I'm looking at a book, but only letters come in",Where can I see the letters?
I should borrow a book,Go to the library.
A book gift would be the best,Find out which field you like.
I should give you a book,Find out which field you like.
Where do you sell your books?,Sell it at a used bookstore.
I need to read some books,That's a good idea.
Can you tell me where I can sell books?,Sell it at a used bookstore.
I get sleepy just reading books,Overcome the weight of your eyelids.
Just open the book and go to sleep,Overcome the weight of your eyelids.
"I was looking at the book, but I only saw the text",Where can I see the letters?
I'm going to remodel my desk,I want to try it too.
I need to organize my bookshelf,Might need some tidying up.
I need to clear the bookshelf,Might need some tidying up.
I have too much to take care of,There are only ten.
What do you say to someone you meet for the first time?,Imagine finding common ground.
What are you talking about with a kid you're seeing for the first time?,Imagine finding common ground.
First time traveling abroad!,I want to be thrilled
Hard to talk to at first,"It's hard at first, but it'll be less after that."
how to make friends in the first place,You have to come and get to know me first.
What do you send on KakaoTalk at first?,Ask how I'm doing.
"I didn't like it at first, but I like it",I guess it's a ball.
"It was good at first, but it got worse",Think of the good in that person.
It was good at first,Think of the good in that person.
I guess it's the first time,"I'm clumsy, but everything will be fine."
looks like a genius,thank you
I heard the iron too early,You can listen to iron when you die.
It's a bit like I grew up quickly,A child must be a child to be beautiful.
what to do on a first date,The night view is great. Go see the night view.
It's the first day of work,I will be very nervous.
I want to meet you on the first snow day,I'm envious that someone like that exists.
I want to be with you when the first snow falls,I'm envious that someone like that exists.
Make a strong first impression,The first 3 seconds are important. Show off your charms.
How do you judge your first impression?,The first impression is decided in 3 seconds when you look at the other person.
first job go to work,"It will be very difficult at first, but you will gradually get used to it."
I need to do a blue river.,I work hard.
to audit,I work hard.
I can't even clean it,Do it one more time.
"Even if I clean it, it's dirty",Do it one more time.
Cleaning is too cumbersome,Cleaning is a habit
"I didn't clean it, so it accumulated dust.",Do a deep cleaning!
cumbersome to clean,Cleaning is a habit
fitness management,Do some exercise.
I hate athletics,Find something fun to do.
If you don't have a gym,Find something fun to do.
It's a sporting event,Check the weather forecast.
I forgot my gym clothes again,Borrow it from another classmate.
I didn't bring my gym clothes,Borrow it from another classmate.
A day on the treadmill,Find the value and meaning in it.
Life goes round like a treadmill,Find the value and meaning in it.
Shall I make you chocolate?,You will love it.
Would you like a gift of chocolate?,You will love it.
peak weight,It's time to come down.
"you're the best, i'm happy",It is the assurance that we are loved.
I guess I did my best,"If you did your best, you can enjoy the time itself."
I did my best,"If you did your best, you can enjoy the time itself."
Do you get the minimum wage?,I earn more than I thought.
I didn't get a part-time job at the minimum wage level,Check to see if your company is cheating.
"The minimum wage has risen, but why is the salary the same?",Check to see if your company is cheating.
I hate going to Chuseok,Do not go.
I don't want to go home on Chuseok,Do not go.
I don't want to go out because it's cold,"In winter, it's best to stay at home while eating tangerines."
cold,How about a cup of hot tea?
I almost died from the cold,Be careful of cold.
I'm dying of cold,Be careful of cold.
recommended menu,Try something different.
I have to go play soccer,Come and exercise.
watching soccer videos,I don't know how time goes.
Chimaek when watching soccer,It's fun to watch.
watching football,I don't know how time goes.
good at soccer,People who are good at sports are cool.
I have to go play soccer,Come and exercise.
Concerns about gift money,Don't worry about the surroundings and put it in according to your circumstances.
How much do you usually pay?,Pay as much as you receive or match with those around you who pay.
How much do you pay for congratulations?,Pay as much as you receive or match with those around you who pay.
how much do i have to pay,Don't worry about the surroundings and put it in according to your circumstances.
Busy preparing for the festival,I wish you a successful finish.
Festival should be enjoyed,Enjoy it while you can.
Is it spring fatigue?,Get some sleep.
It must be spring fatigue. I'm sleepy.,Get some sleep.
There's someone I see every day on my way to work,Maybe it's fate.
Going to work is stressful,You must be under a lot of stress at work.
It's so hard to go to work,Move closer to the company.
blocked on the way to work,I guess you don't want to go to work today.
The commute to work is exceptionally long,I guess you don't want to go to work today.
not worth the commute time,Move closer to the company.
Going to work is stressful,You must be under a lot of stress at work.
taking too long to go to work,Move closer to the company.
I hate going to work,You must be under a lot of stress at work.
Get stressed out right after work,Work is a source of stress.
The commute takes too long.,Try using public transportation.
I wish the commute time was a bit shorter,Try using public transportation.
I didn't bring a charger,borrow it
I didn't bring a charger,borrow it
I need to charge,Find a charger.
Shall we make some hobbies?,It would be nice to start with something.
I heard it's good to do hobbies together,Together we will get to know each other more.
Hobbies cost a lot of money,"Still, there is fun in life when you have a hobby."
Hobbies cost too much money,"Still, there is fun in life when you have a hobby."
It's hard to get drunk.,It's a needle hole.
I want to kiss, I could
longer periods of unemployment,It will be during the next recruitment.
Job preparation takes longer,It will be during the next recruitment.
Hard to prepare for a job,I wish you success.
Will the job be too hard?,Believe in your own abilities.
It is not easy to break through the barriers to employment.,It's a needle hole.
want to get a job,You can do as much as you want.
Will it be difficult to get a job?,Believe in your own abilities.
job seeker,"It may be difficult now, but you will be able to laugh later."
can't get a job,You can get a job anywhere you want.
If you got a job,Not a job
I want to get a job,You can get a job anywhere you want.
I'm too old to get a job,Age is just a number.
I thought I wouldn't have to study if I got a job.,Studying never ends.
I thought I wouldn't have to study if I got a job.,Studying never ends.
Getting a job isn't the end.,Competition is getting fiercer.
"I thought it would be over once I got a job, but I still have a lot to do.",Competition is getting fiercer.
I should get a job,"It may be difficult now, but you will be able to laugh later."
I think I know why there are murders because of the noise between floors,Because it invades your daily life.
Interfloor noise is severe,Report it.
I'm going crazy every time the noise between floors,Claim damages with evidence.
I heard that there is a murder due to the noise between the floors.,Because it invades your daily life.
Newcomer coming up,Work harder.
Going to the dentist will cost a lot of money.,"Later on, more money will come out."
"If you go to the dentist, you'll lose a lot of money.","Later on, more money will come out."
need to go to the dentist,Go to a nearby dentist.
Should I get dental treatment?,Go to a nearby dentist.
I'm scared that my dementia is getting worse,Please reach out and pay more attention.
I think my dementia is getting worse,Please reach out and pay more attention.
what if dementia,don't sound scary
I'm afraid it might be dementia.,don't sound scary
Chicken and Mac Day,Run!
Eating chicken and beer while watching football,It's fun to watch.
I have to order chicken,bon appetite.
Should I open a chicken house?,I think there are many things that are harder than you think.
you like a friend,A friend like that lasts a long time.
Going to a friend's first birthday party,congratulate me and come
Follow your friends to Gangnam,Have a friend follow you.
I'll have to follow my friend.,Have a friend follow you.
I want to make many friends,you know i have
How many friends do you need,Even one person is enough.
I want to make friends,you know i have
how to make friends,You have to come and get to know me first.
Can I date my ex-boyfriend?,I don't think so.
friend warmhearted,Get ready to greet your friends.
I went to shoot my friend's wedding and I was sad,"My friend is sensitive, so I guess I didn't take good care of him."
Can I buy a friend's ex-boyfriend?,I don't think so.
want to make some friends,How am I?
friend bothers me,My friend seems to like it.
my friend says i'm cute,My friend has eyes.
my friend is obsessed with me,Keep your distance.
A friend is in touch with my sweetheart,Maybe he's trying to help.
thank you so much friend,I have good friends.
my friend is so nice,Say no it's not
my friend is so pretty,It's a milky way.
all my friends are gone,You will be able to make another friend.
All my friends left so I wonder if I'm ugly,Don't dwell on past relationships.
All my friends try to do whatever they want,Say no it's not
My friend is helping me but I don't like it,I guess my abilities didn't live up to my expectations.
I don't like having friends help me,I guess my abilities didn't live up to my expectations.
I think it would be fun to have a lot of friends.,How am I?
My friend is sick to my stomach,I guess I'm not your friend
"friend introduced me, but he was a strange person","Don't rely on your friends, do it yourself."
my friend is shy,Please pay more attention.
my friend is very shy,Please pay more attention.
I have no friends,You will be able to make another friend.
I feel intimidated because my friend is pretty,Be confident.
A friend helped me move,You have good friends.
"A friend connected it, but it didn't work","Don't rely on your friends, do it yourself."
"My friend seems to be obsessed with me, so what can I say?",Keep your distance.
My friend keeps asking me to go to the club,I suggest you go with another friend.
My friend keeps liking the club so much that he crayfish every day,I suggest you go with another friend.
My stomach hurts because my friend is doing well,I guess I'm not your friend
"Because my friend is doing well, I feel better",I guess I'm not your friend
I think my friend is dating her ex,I guess I'm not your friend
A friend is coming over to play,Get ready to greet your friends.
My friend chews KakaoTalk,You must be busy.
i need a friend,"If you approach with sincerity, you will be able to become friends."
I'll go to my friend,Come and have fun.
I want to go play with my friend,Come and have fun.
I'm going to my friend's house to play and come back tomorrow,You have good friends.
I'm going to sleep at my friend's house,You have good friends.
"My friend's house is rich, so I can't invite him to my house.",You don't have to worry about that.
to call friends,That's a good idea.
to invite friends,That's a good idea.
All my friends are married,You'll find it in no time.
all my friends are pretty,Be confident.
All my friends are pretty,You are pretty too.
I feel like my friends are bullying me,Ask your teacher for help.
My friends said I was cute,My friend has eyes.
All my friends are pretty,You are pretty too.
good place to go with friends,Anywhere is good with friends.
I want to go to karaoke with my friends,I think it will be a good time
I want to eat delicious food with my friends,I think I'll be happier little by little
I want to go to a restaurant with my friends,I think I'll be happier little by little
I want to do volunteer work with my friends.,It's meaningful.
Moving in with friends,You have good friends.
Where do you go to play with your friends,Anywhere is good with friends.
To be popular with friends,"If you have a good personality, you will be popular."
Will I be recognized by my friends?,It is still being recognized.
I thought you were a friend,"Don't be that kind of friend, make a proper friend."
"I thought you were my friend, but you thought I was very easy","Don't be that kind of friend, make a proper friend."
The kid I thought of as a friend is talking behind my back,It's a waste of time to think of you as a friend.
Do you gossip about being a friend?,It's a waste of time to think of you as a friend.
I keep comparing myself with my friends,There is no end to the comparison.
I want to be closer with my friends,Be polite and considerate of each other.
Nice to meet up with friends,Create a good relationship with that friend.
I had an argument with my friend,I'll get attached to it while fighting.
Compare with your friend,There is no end to the comparison.
"Compared to my friends, I get smaller",You are a bigger person than you think.
I came to chat with my friend,You look good.
I had a fight with my friend,I'll get attached to it while fighting.
I think a friend and some guy contacted me,Maybe he's trying to help.
I get smaller when I'm with friends,You are a bigger person than you think.
how to play well with friends,"Praise what they do well, and love them as they are while imitating what they are good at."
I have a feeling that my friend and my ex will be dating,I guess I'm not your friend
how to get along with friends,"Praise what they do well, and love them as they are while imitating what they are good at."
came to heal with my friend,You look good.
I'll have to ask my friend,I don't even know my friends.
"Even though we're friends, we're doing so well that it makes me sick",I guess I'm not your friend
You are like a friend but not a friend,A friend like that lasts a long time.
I owe a lot to my friend,Please repay me as much as I am grateful.
How many years can I contact a friend?,It would be nice to hear from you after a long time.
I should ask my friend,I don't even know my friends.
sorry for my friend,Please repay me as much as I am grateful.
I introduced it to a friend and only cursed at it,It must have been a different view as a friend and as a member of the opposite sex.
I think I made a mistake with my friend,Ask for forgiveness.
I can't get rid of the things I've accumulated with my friends,Try to unravel the tangled feelings as you talk.
Should I tell my friend that I'm having a fling?,It's not too late to talk about it when it's clear.
I keep piling up on my friends,Try to unravel the tangled feelings as you talk.
I keep getting attached to my friend,Rely on yourself.
thank you so much my friend,I have good friends.
I feel uncomfortable dealing with relatives,"If we thought of each other a little, we would be happy to meet."
I don't want to see my relatives,don't meet
It's inconvenient to meet relatives,"If we thought of each other a little, we would be happy to meet."
I hate meeting my relatives,don't meet
fight with best friend,Solve it in conversation.
I had a fight with my best friend,"If you are a friend, apologize first."
"My close friend, Mr. Pumpkin",Skip such a friend.
Hit in the back by a close friend,Skip such a friend.
bed is the best,Become one with the bed and have a good rest.
Sleep as soon as you lie down in bed,That's a good habit.
keep calm,Take a deep breath.
give me a compliment,I'm still doing well.
I wish I could give you a compliment,I am still doing quite well.
I'm going to break all the cards and throw them away.,"If you can't control consumption, getting rid of it will be a way."
I need to get rid of all the cards,"If you can't control consumption, getting rid of it will be a way."
I can't find my card,Find it well.
